activity,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco City and,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
Fire stations,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1
Florists,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,N,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2
Food banks,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1
Gas stations,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1
Government services,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1
Grocery stores,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1
Gyms and fitness centers,Outdoor,Y2,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Y2,Y2,Outdoor,Outdoor,Y2,N,Outdoor,Outdoor,Outdoor,Y2,Y2,Outdoor,Outdoor,Outdoor,Y2,Outdoor,Outdoor,Y2,Outdoor,Outdoor,Outdoor,Y2,Outdoor,Outdoor,Y2,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Y2,Outdoor,Y2,Outdoor,Outdoor,Outdoor,Outdoor,Y2,Y2,Outdoor,Y2,Outdoor,Outdoor,Outdoor
Hair salons and barbershops,Outdoor,Y2,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Y2,Y2,Outdoor,Outdoor,Y2,N,Outdoor,Outdoor,Outdoor,Y2,Y2,Outdoor,Outdoor,Outdoor,Y2,Outdoor,Outdoor,Y2,Outdoor,Outdoor,Outdoor,Y2,Outdoor,Outdoor,Y2,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Y2,Outdoor,Y2,Outdoor,Outdoor,Outdoor,Outdoor,Y2,Y2,Outdoor,Y2,Outdoor,Outdoor,Outdoor
Handyperson/general contractor,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,N,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2
Higher education,Outdoor,Y2,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Y2,Y2,Outdoor,Outdoor,Y2,N,Outdoor,Outdoor,Outdoor,Y2,Y2,Outdoor,Outdoor,Outdoor,Y2,Outdoor,Outdoor,Y2,Outdoor,Outdoor,Outdoor,Y2,Outdoor,Outdoor,Y2,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Y2,Outdoor,Y2,Outdoor,Outdoor,Outdoor,Outdoor,Y2,Y2,Outdoor,Y2,Outdoor,Outdoor,Outdoor
Home and furnishing stores,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,N,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2
Hospitals and urgent care,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1
Hotels and lodging (tourism and individual travel),Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,N,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2
HVAC services,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,N,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2
Indoor playgrounds (bounce centers/ball pits/laser tag),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Jewelry stores,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,N,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2
